scan_id,L,H,K,Y,I,error,LB,dL
#01194,0.6600014102776733,1.0,1.0,0.0,0.0010185992527958,7.17258974843681e-06,1.0,2.0
#01194,0.700000435809527,1.0,1.0,0.0,0.0012542288929621,7.751157394795647e-06,1.0,2.0
#01194,0.7399990728847825,1.0,1.0,0.0,0.0016016345070816,8.364655552182301e-06,1.0,2.0
#01194,0.7800140932527823,1.0,1.0,0.0,0.0021099583849593,9.161960502543516e-06,1.0,2.0
#01194,0.8200118347398957,1.0,1.0,0.0,0.003016235331232,1.0103740345877846e-05,1.0,2.0
#01194,0.8599982209951158,1.0,1.0,0.0,0.0046641980347677,1.1063321637939126e-05,1.0,2.0
#01194,0.9000007659255632,1.0,1.0,0.0,0.0085480487440289,1.3493021073551047e-05,1.0,2.0
#01194,1.100000886270278,1.0,1.0,0.0,0.00886266523989,1.4492296636868184e-05,1.0,2.0
#01194,1.119997237526446,1.0,1.0,0.0,0.0059331248890938,1.2758863543389182e-05,1.0,2.0
#01194,1.140000896184283,1.0,1.0,0.0,0.0042580808904848,1.1685754705339489e-05,1.0,2.0
#01194,1.159998461718163,1.0,1.0,0.0,0.0031629393202631,1.0923453993161609e-05,1.0,2.0
#01194,1.180001931838957,1.0,1.0,0.0,0.0023945115620127,1.0072962788405388e-05,1.0,2.0
#01194,1.200000842141812,1.0,1.0,0.0,0.001903639487354,9.28116184547998e-06,1.0,2.0
#01194,1.219999953895916,1.0,1.0,0.0,0.00152142525295,9.054355371388776e-06,1.0,2.0
#01194,1.239998561312504,1.0,1.0,0.0,0.001225967219415,8.936117946059568e-06,1.0,2.0
#01194,1.260002674029855,1.0,1.0,0.0,0.0010841851561101,8.85957610250938e-06,1.0,2.0
#01194,1.279998338017895,1.0,1.0,0.0,0.0009170519426153,8.7548045195063e-06,1.0,2.0
#01194,1.299997818391605,1.0,1.0,0.0,0.0007832750708902,8.653829368704563e-06,1.0,2.0
#01194,1.319997640302767,1.0,1.0,0.0,0.0006478377958373,8.488323592203164e-06,1.0,2.0
#01194,1.339999880143037,1.0,1.0,0.0,0.0005349874484478,8.317665186748475e-06,1.0,2.0
#01194,1.359999772176362,1.0,1.0,0.0,0.0004792919397008,8.183426880229322e-06,1.0,2.0
#01194,1.380001157485957,1.0,1.0,0.0,0.0004304052149064,8.077282870213204e-06,1.0,2.0
#01194,1.400002675750358,1.0,1.0,0.0,0.0003831102606886,8.052592738683189e-06,1.0,2.0
#01194,1.419998932558442,1.0,1.0,0.0,0.000344467610355,7.997917851311622e-06,1.0,2.0
#01194,1.440013826454622,1.0,1.0,0.0,0.0003058261299498,8.009248513484369e-06,1.0,2.0
#01194,1.460008799428443,1.0,1.0,0.0,0.0002751120182056,7.92426358364718e-06,1.0,2.0
#01194,1.479997001063467,1.0,1.0,0.0,0.0002587096064075,7.898110430679722e-06,1.0,2.0
#01194,1.499998564572347,1.0,1.0,0.0,0.00023132146939,7.88728437567612e-06,1.0,2.0
#01194,1.500001295024682,1.0,1.0,0.0,0.0002241866461746,3.51244281361034e-06,1.0,2.0
#01194,1.550000407515914,1.0,1.0,0.0,0.0001852135023608,3.5139000761203958e-06,1.0,2.0
#01194,1.599997962288498,1.0,1.0,0.0,0.000160258567825,3.572433364772564e-06,1.0,2.0
#01194,1.649996526526151,1.0,1.0,0.0,0.0001297963847604,3.5922739149267844e-06,1.0,2.0
#01194,1.699995857099954,1.0,1.0,0.0,0.0001209930609831,3.6414701320263294e-06,1.0,2.0
#01194,1.750005749110164,1.0,1.0,0.0,0.0001000518044298,3.732386535009893e-06,1.0,2.0
#01194,1.799998691675446,1.0,1.0,0.0,9.749333703832329e-05,3.946871648063592e-06,1.0,2.0
#01194,1.850006590266452,1.0,1.0,0.0,8.517223203551358e-05,3.944127859776423e-06,1.0,2.0
#01194,1.900002570147567,1.0,1.0,0.0,8.099577242441084e-05,4.044723753792819e-06,1.0,2.0
#01194,1.949982644833054,1.0,1.0,0.0,8.598026020313482e-05,4.13537336098935e-06,1.0,2.0
#01194,2.050001553827007,1.0,1.0,0.0,8.186278306021726e-05,4.345737437377542e-06,1.0,2.0
#01194,2.100000784701711,1.0,1.0,0.0,8.571497039959561e-05,4.441370998350867e-06,1.0,2.0
#01194,2.150002057481828,1.0,1.0,0.0,8.741828886341964e-05,4.545574109022105e-06,1.0,2.0
#01194,2.200002230471434,1.0,1.0,0.0,8.382513820366984e-05,4.661319396637708e-06,1.0,2.0
#01194,2.249999040883756,1.0,1.0,0.0,9.380920958938244e-05,4.765600956511144e-06,1.0,2.0
#01194,2.299992712479416,1.0,1.0,0.0,9.935385960385004e-05,5.042115862724656e-06,1.0,2.0
#01194,2.349988744466553,1.0,1.0,0.0,0.0001100684816501,4.7124040641520605e-06,1.0,2.0
#01194,2.400002628062341,1.0,1.0,0.0,0.0001194052794805,4.820188906725572e-06,1.0,2.0
#01194,2.450004789247163,1.0,1.0,0.0,0.0001404424434527,4.940074075516623e-06,1.0,2.0
#01194,2.50000223881453,1.0,1.0,0.0,0.0001629240691811,5.072795221338932e-06,1.0,2.0
#01194,2.500004678510012,1.0,1.0,0.0,0.0001645297351888,1.134882765801218e-05,1.0,2.0
#01194,2.519998158964146,1.0,1.0,0.0,0.0001688303773984,1.150874059513004e-05,1.0,2.0
#01194,2.539998039851126,1.0,1.0,0.0,0.0002000233782761,1.1626062213983336e-05,1.0,2.0
#01194,2.559950425775618,1.0,1.0,0.0,0.0001971979581164,1.1686623088981882e-05,1.0,2.0
#01194,2.579975840044974,1.0,1.0,0.0,0.0002117881203325,1.1824930405011804e-05,1.0,2.0
#01194,2.599997752025198,1.0,1.0,0.0,0.0002006138578912,1.0900281102086533e-05,1.0,2.0
#01194,2.619998490979277,1.0,1.0,0.0,0.0002402889697983,1.0980813455429264e-05,1.0,2.0
#01194,2.639996683796207,1.0,1.0,0.0,0.0002686457779039,1.11688813428877e-05,1.0,2.0
#01194,2.659995804875552,1.0,1.0,0.0,0.0002676980718087,1.1252937762887578e-05,1.0,2.0
#01194,2.680002024231803,1.0,1.0,0.0,0.0002994191287165,1.1431225729862565e-05,1.0,2.0
#01194,2.699998215540112,1.0,1.0,0.0,0.0003339007955949,1.1567917127777928e-05,1.0,2.0
#01194,2.720000552889418,1.0,1.0,0.0,0.0003534887706578,1.1777619682175635e-05,1.0,2.0
#01194,2.740000341186492,1.0,1.0,0.0,0.0004269434964926,1.1938584035091136e-05,1.0,2.0
#01194,2.75999550103186,1.0,1.0,0.0,0.0004508433528858,1.2242928410170712e-05,1.0,2.0
#01194,2.780003225905456,1.0,1.0,0.0,0.000530432881923,1.2452850663949926e-05,1.0,2.0
#01194,2.799988119272341,1.0,1.0,0.0,0.0006268221720373,1.2944541352590798e-05,1.0,2.0
#01194,3.099998815973882,1.0,1.0,0.0,0.0019619229612198,1.6988368429183528e-05,1.0,2.0
#01194,3.129995931718934,1.0,1.0,0.0,0.0011169772828885,1.473818991923442e-05,1.0,2.0
#01194,3.159993710273604,1.0,1.0,0.0,0.0006993005127587,1.3346735174724794e-05,1.0,2.0
#01194,3.189991385227897,1.0,1.0,0.0,0.0004790614638549,1.2658222542937378e-05,1.0,2.0
#01194,3.220005138533759,1.0,1.0,0.0,0.0003423151918007,1.2249289506133768e-05,1.0,2.0
#01194,3.250009175949582,1.0,1.0,0.0,0.0002627349341842,1.204792099350823e-05,1.0,2.0
#01194,3.279996621679059,1.0,1.0,0.0,0.0002030300013054,1.1782446094572394e-05,1.0,2.0
#01194,3.310033183252726,1.0,1.0,0.0,0.0001541713867407,1.1663580274877833e-05,1.0,2.0
#01194,3.339973187352786,1.0,1.0,0.0,0.0001359576456518,1.1555073930970738e-05,1.0,2.0
#01194,3.369998120880334,1.0,1.0,0.0,0.0001057042367164,1.0622346476326272e-05,1.0,2.0
#01209,0.8599991889198022,2.0,0.0,0.0,9.16742814099884e-05,2.704006706756003e-06,0.0,2.0
#01209,0.940000750503749,2.0,0.0,0.0,8.747771696359158e-05,2.843874273939767e-06,0.0,2.0
#01209,1.019999917097752,2.0,0.0,0.0,9.789143720151456e-05,3.165693482961632e-06,0.0,2.0
#01209,1.100013256494681,2.0,0.0,0.0,0.0001021414808763,3.286648308493769e-06,0.0,2.0
#01209,1.180007708330889,2.0,0.0,0.0,0.0001065209965861,3.4754574455846456e-06,0.0,2.0
#01209,1.259996540221613,2.0,0.0,0.0,0.0001250566646858,3.5590757159714007e-06,0.0,2.0
#01209,1.340001089549786,2.0,0.0,0.0,0.0001452514755941,3.813352362745618e-06,0.0,2.0
#01209,1.420000590567744,2.0,0.0,0.0,0.0001833056959507,3.983207444063189e-06,0.0,2.0
#01209,1.499996466439744,2.0,0.0,0.0,0.0002167916330872,4.0294380942388585e-06,0.0,2.0
#01209,1.499997259786488,2.0,0.0,0.0,0.0002049521449247,8.366444590898013e-06,0.0,2.0
#01209,1.539999782665939,2.0,0.0,0.0,0.0002409704719826,8.561132436141972e-06,0.0,2.0
#01209,1.58000063562305,2.0,0.0,0.0,0.0003068330261307,8.805552300783078e-06,0.0,2.0
#01209,1.620002135517287,2.0,0.0,0.0,0.0003483857476581,8.553573183026559e-06,0.0,2.0
#01209,1.659999267401825,2.0,0.0,0.0,0.0004474295883277,8.955606114615542e-06,0.0,2.0
#01209,1.700004921934798,2.0,0.0,0.0,0.0005343513907473,9.319278008452573e-06,0.0,2.0
#01209,1.73999850144519,2.0,0.0,0.0,0.0006935149123431,9.73200635443891e-06,0.0,2.0
#01209,1.779998738708351,2.0,0.0,0.0,0.0009426998878932,1.0393775119549346e-05,0.0,2.0
#01209,1.820002858247163,2.0,0.0,0.0,0.0013695221618621,1.1296913784324104e-05,0.0,2.0
#01209,1.860004624532374,2.0,0.0,0.0,0.0021921876059964,1.2089136132083703e-05,0.0,2.0
#01209,1.899997630420621,2.0,0.0,0.0,0.0041475702678489,1.5161170623145623e-05,0.0,2.0
#01209,2.100001277819654,2.0,0.0,0.0,0.0032139728658478,1.557297265357683e-05,0.0,2.0
#01209,2.139996482698109,2.0,0.0,0.0,0.0014870788171993,1.2782493489577374e-05,0.0,2.0
#01209,2.180000665459484,2.0,0.0,0.0,0.000846491136235,1.1584675949115213e-05,0.0,2.0
#01209,2.220000593454964,2.0,0.0,0.0,0.0005492687823125,1.103157566566678e-05,0.0,2.0
#01209,2.260002826373922,2.0,0.0,0.0,0.0003511282909409,1.0792498237933017e-05,0.0,2.0
#01209,2.299998460887378,2.0,0.0,0.0,0.0002617326852267,1.0595619738882757e-05,0.0,2.0
#01209,2.339998949195288,2.0,0.0,0.0,0.0001957596140131,1.0470004589172908e-05,0.0,2.0
#01209,2.379958854767349,2.0,0.0,0.0,0.0001474239180671,1.0447261252207596e-05,0.0,2.0
#01209,2.419976153396888,2.0,0.0,0.0,0.0001298625782332,1.0433544979256743e-05,0.0,2.0
#01209,2.460002242097265,2.0,0.0,0.0,0.0001081423401772,1.0469453541291075e-05,0.0,2.0
#01209,2.499996303809266,2.0,0.0,0.0,9.373106087135174e-05,4.712527264466551e-06,0.0,2.0
#01209,2.500002556413876,2.0,0.0,0.0,9.155932041348698e-05,8.69714664333443e-06,0.0,2.0
#01209,2.56666764525596,2.0,0.0,0.0,6.541971138316294e-05,4.739328669109115e-06,0.0,2.0
#01209,2.633334656625096,2.0,0.0,0.0,5.9977155909395866e-05,4.790494419218377e-06,0.0,2.0
#01209,2.699982699255487,2.0,0.0,0.0,5.852440620471109e-05,4.790244338996871e-06,0.0,2.0
#01209,2.766673231720218,2.0,0.0,0.0,5.357413699369371e-05,4.796239446508028e-06,0.0,2.0
#01209,2.833335164911853,2.0,0.0,0.0,4.920855949313705e-05,4.803369283895647e-06,0.0,2.0
#01209,2.899997091166614,2.0,0.0,0.0,5.133245051974611e-05,4.808293489329697e-06,0.0,2.0
#01209,2.966666247168928,2.0,0.0,0.0,5.377780111291599e-05,4.827702701771145e-06,0.0,2.0
#01209,3.033329289235366,2.0,0.0,0.0,5.289421646604303e-05,4.870877504013472e-06,0.0,2.0
#01209,3.099991781582454,2.0,0.0,0.0,5.173276100711252e-05,4.936464560879092e-06,0.0,2.0
#01209,3.166685181447935,2.0,0.0,0.0,4.700752212045872e-05,4.993428350646947e-06,0.0,2.0
#01209,3.233330686044996,2.0,0.0,0.0,5.219030380383977e-05,5.048052717199627e-06,0.0,2.0
#01209,3.300000042937098,2.0,0.0,0.0,5.117072665597989e-05,5.111926055440583e-06,0.0,2.0
#01209,3.366668284312678,2.0,0.0,0.0,6.0812660842791527e-05,5.178260111275631e-06,0.0,2.0
#01209,3.433325508922832,2.0,0.0,0.0,6.868045779466939e-05,5.25304789215278e-06,0.0,2.0
#01209,3.499993393703818,2.0,0.0,0.0,7.133688274902519e-05,5.351574679762084e-06,0.0,2.0
#01209,3.500001842825541,2.0,0.0,0.0,8.178732410039238e-05,1.1887370908003828e-05,0.0,2.0
#01209,3.540003118175919,2.0,0.0,0.0,9.496283521961434e-05,1.2136422272446331e-05,0.0,2.0
#01209,3.580002773056266,2.0,0.0,0.0,9.226732219276586e-05,1.2205020502522024e-05,0.0,2.0
#01209,3.619994342925156,2.0,0.0,0.0,0.0001222173097067,1.2454340584286252e-05,0.0,2.0
#01209,3.659995037170733,2.0,0.0,0.0,0.0001615753651712,1.2579173146342488e-05,0.0,2.0
#01209,3.700006118306394,2.0,0.0,0.0,0.0001561633920465,1.2784852129207958e-05,0.0,2.0
#01209,3.739994674486252,2.0,0.0,0.0,0.0002251015843666,1.3184616754004475e-05,0.0,2.0
#01209,3.780008850681163,2.0,0.0,0.0,0.0002826315879557,1.3691031165955802e-05,0.0,2.0
#01209,3.819995961926054,2.0,0.0,0.0,0.0004054642261254,1.462463576391599e-05,0.0,2.0
#01209,3.860000601370194,2.0,0.0,0.0,0.0006239470551757,1.617800961734732e-05,0.0,2.0
#01209,3.900001245431151,2.0,0.0,0.0,0.0010970396226433,1.9600494446506947e-05,0.0,2.0
